Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/20,Sunday,YOUTUBE,141,Entertainment
8/20,Sunday,TIKTOK,107,Entertainment
8/20,Sunday,CLASH_ROYALE,92,Entertainment
8/20,Sunday,MESSAGES,30,Social Media
8/20,Monday,CLASH_ROYALE,22,Entertainment
8/20,Monday,TWITTER,18,Social Media
8/20,Monday,CANVAS STUDENT,15,Education
8/20,Monday,MESSAGES,13,Social Media
8/21,Tuesday,YOUTUBE,176,Entertainment
8/21,Tuesday,TIKTOK,159,Entertainment
8/21,Tuesday,CLASH_ROYALE,68,Entertainment
8/21,Tuesday,CHROME,41,Entertainment
8/21,Tuesday,CANVAS_STUDENT,9,Education
8/21,Tuesday,INSTAGRAM,5,Social Media
8/21,Tuesday,MESSAGES ,3,Social Media
8/22,Wednesday,TIKTOK,132,Social Media
8/22,Wednesday,CHROME,39,Entertainment
8/22,Wednesday,YOUTUBE,36,Entertainment
8/22,Wednesday,MUSI,7,Entertainment
8/23,Thursday,TIKTOK,200,Entertainment
8/23,Thursday,YOUTUBE,53,Entertainment
8/23,Thursday,CLASH_ROYALE,29,Entertainment
8/23,Thursday,CANVAS_STUDENT,7,Education
8/24,Friday,TIKTOK,119,Entertainment
8/24,Friday,YOUTUBE,97,Entertainment
8/24,Friday,CLASH_ROYALE,75,Education
8/24,Friday,INSTAGRAM,8,Social Media
8/25,Saturday,YOUTUBE,252,Entertainment
8/25,Saturday,TIKTOK,72,Entertainment
8/25,Saturday,CLASH_ROYALE,37,Entertainment
8/25,Saturday,CANVAS_SUTDENT,13,Entertainment
8/25,Saturday,INSTAGRAM ,12,Entertainment